rm,nome,logradouro,cep,cidade,estado,pais,telefone,possuiCartao
504818,Bessy,Susan,9,Fairbanks,Alaska,United States,907-737-7929,false
309445,Shirline,Sloan,9,Cleveland,Ohio,United States,216-306-4287,false
811654,Jillayne,Sage,9,Erie,Pennsylvania,United States,814-922-6253,true
852801,Camila,Sullivan,9,Santa Barbara,California,United States,805-840-7836,true
454905,Ramsey,Elgar,9,Everett,Washington,United States,425-482-7634,true
265574,Niels,Westridge,9,Los Angeles,California,United States,213-810-5497,false
556746,Rafferty,Harper,9,Gulfport,Mississippi,United States,228-281-7973,true
379508,Gay,Bluestem,9,Norfolk,Virginia,United States,757-716-1609,false
605918,Waneta,Steensland,9,Providence,Rhode Island,United States,401-577-3942,false
250348,Jennie,Mallory,9,Dallas,Texas,United States,214-149-5496,true
872356,Noell,Kropf,9,Albany,New York,United States,518-232-7545,false
338407,Leanna,Havey,9,Charlotte,North Carolina,United States,704-204-1310,true
590778,Nissa,Mallory,9,San Diego,California,United States,858-593-0605,true
237129,Manon,Roxbury,9,Akron,Ohio,United States,330-705-5665,true
856067,Lura,Steensland,9,Fort Lauderdale,Florida,United States,954-655-1665,true
731819,Renard,Homewood,9,Charlottesville,Virginia,United States,434-458-9199,false
641464,Donavon,Hovde,9,Charlotte,North Carolina,United States,704-595-0265,true
948205,Verge,Alpine,9,Pittsburgh,Pennsylvania,United States,412-100-3070,false
482394,Marty,Ilene,9,Pittsburgh,Pennsylvania,United States,412-749-3745,false
286957,Marshall,Coolidge,9,Phoenix,Arizona,United States,602-173-9671,true
131663,Rafi,Heath,9,Springfield,Illinois,United States,217-725-3358,false
517565,Edin,Haas,9,Naples,Florida,United States,305-240-5465,true
119604,Delora,Merchant,9,Memphis,Tennessee,United States,901-438-5069,false
758629,Denni,Kennedy,9,Hartford,Connecticut,United States,860-619-1606,false
751779,Wilow,Mallard,9,Shawnee Mission,Kansas,United States,913-888-6578,false
782470,Elie,Anzinger,9,Rockville,Maryland,United States,240-747-8373,true
596859,Breanne,Myrtle,9,Alexandria,Virginia,United States,703-956-9032,false
390968,Kissee,Loeprich,9,Philadelphia,Pennsylvania,United States,267-941-3050,false
971256,Auberon,Colorado,9,Wichita,Kansas,United States,316-139-7534,true
476792,Briggs,Barnett,9,Whittier,California,United States,562-215-6130,true
772373,Alisun,Browning,9,Las Vegas,Nevada,United States,702-898-6504,false
685508,Abramo,Dwight,9,Phoenix,Arizona,United States,602-692-2039,true
352069,Jenica,Green,9,Richmond,Virginia,United States,804-460-1091,false
936124,Shayla,Menomonie,9,Dallas,Texas,United States,214-139-1397,false
246068,Nicolais,Starling,9,Memphis,Tennessee,United States,901-952-3440,false
212432,Zach,Quincy,9,Shawnee Mission,Kansas,United States,816-332-3797,true
646253,Lulu,Swallow,9,Burbank,California,United States,661-816-0364,true
381380,Gwendolin,Northfield,9,Knoxville,Tennessee,United States,865-483-4081,true
121562,Craggie,Columbus,9,Berkeley,California,United States,510-971-1069,true
734549,Demetri,Chive,9,Katy,Texas,United States,832-986-9411,true
194617,Lianne,Lyons,9,Marietta,Georgia,United States,770-538-5719,false
854800,Katharyn,Moulton,9,Marietta,Georgia,United States,404-748-7074,true
846562,Lonna,Everett,9,Savannah,Georgia,United States,912-396-6981,true
897619,Veronica,Cottonwood,9,Sacramento,California,United States,916-493-7456,true
131727,Teddie,Basil,9,Toledo,Ohio,United States,419-317-2905,true
477505,Luke,Village Green,9,Washington,District of Columbia,United States,202-893-9461,false
849247,Consalve,Lakeland,9,El Paso,Texas,United States,915-854-5260,false
680877,Brigitta,Daystar,9,Meridian,Mississippi,United States,601-675-4857,true
650046,Tamera,Arizona,9,El Paso,Texas,United States,915-516-2231,true
375659,Crista,Waxwing,9,Fort Worth,Texas,United States,817-229-9607,true
