numero,dataValidade,vencimento,limiteTotal,alunoId
5610974536808833103,12/06,7,19584.93,17
5358234477036430,08/10,14,4568.49,5
06041805649930450,17/05,23,12821.16,1
677188888303298944,25/09,4,1929.57,38
3587534418166354,21/01,1,10625.56,13
4017952400778,04/09,13,11390.56,42
30491280673844,20/09,13,11131.36,19
5602253187146762,31/10,25,3928.56,47
5007668600816967,27/01,1,1150.54,7
3531645418735209,24/02,15,2903.95,10
3584141617432463,26/11,11,17205.1,2
4903561534690061,06/01,26,15284.31,32
560223854452618279,31/07,11,10752.14,43
5100133621418125,14/02,13,17401.04,19
3569334685226250,13/03,16,7067.51,50
3530899742306861,02/03,20,6645.59,41
5602243006785072,29/12,21,12643.79,17
374283608133898,16/01,24,901.69,41
6387368947957503,23/08,9,13332.83,1
4041592118566,09/05,8,10180.09,19
5108759740090577,25/09,27,18794.69,46
3586656001448112,27/05,15,9751.62,39
3572581163959266,13/09,1,10199.32,35
3534008515594648,18/12,9,16210.91,23
5002354837594082,29/03,6,14751.12,31
201908131330244,10/11,8,4386.61,13
501860042684959685,16/03,28,19442.53,8
3562860809978555,07/09,23,5111.92,18
3549502125988250,25/04,20,13292.1,48
5547911033821569,17/05,17,6651.78,30
3530484443163588,12/05,22,19796.38,27
3567811040486986,18/03,10,14718.52,6
3568882498249340,18/08,1,13581.21,41
4041596994582,22/09,19,10344.74,18
3585657196671444,24/12,4,7383.36,27
5602228595028356,30/01,22,1079.04,38
3579393847336231,07/06,23,8888.43,27
5002351477198604,11/03,22,16526.07,42
3542576789565601,30/07,20,19923.96,22
5466528009220423,23/10,25,18480.5,3
3529561261777830,25/11,21,17302.66,32
5602250537267353742,01/02,5,5837.34,1
560223929592241594,24/02,20,18191.71,40
3584849498668589,06/05,23,5279.01,25
3565872290778102,04/10,15,14215.9,18
633349817011209199,13/11,9,3019.53,36
4844806405689003,26/05,22,15562.51,13
3537796731166020,12/07,1,16805.81,48
63043383353435529,28/02,3,11753.98,21
6304300880187567278,01/05,5,230.63,13
3579133450606458,13/11,4,12021.52,20
3566075314113475,07/04,11,8193.36,38
3540377447588545,02/05,26,5013.55,40
3545131439193938,15/08,21,18317.55,43
3570109267830472,14/10,12,14404.51,38
6759648778685848,27/07,2,14213.31,5
3573850026117142,15/10,11,18792.25,6
3548014574719047,27/02,21,8938.41,3
374622253982655,04/01,7,19196.08,44
5341243691585791,05/10,28,11821.5,29
3581022846534878,12/09,17,6505.01,12
3584204991714946,23/04,26,6385.38,32
3541114460434615,04/08,2,11867.51,40
201772045810273,02/06,5,6540.53,1
4017950676823775,29/12,20,11026.77,19
3585766006430832,24/10,11,5293.21,6
3573702412860688,19/01,3,4194.86,20
201464704328173,01/04,7,10043.34,20
5309672487958434,15/07,17,5380.08,44
3536663382665018,17/01,27,14358.16,36
675996271253982211,12/12,14,7982.5,49
5100132758413966,22/10,4,359.17,41
3572953323314783,21/02,5,13387.56,13
3544640348975426,11/05,25,18249.93,48
5602253219356579,11/10,18,4180.71,13
